year	data	locator
1901	53.69402	MEX
1902	50.424503	MEX
1903	55.963585	MEX
1904	55.009674	MEX
1905	61.118702	MEX
1906	57.21757	MEX
1907	53.256702	MEX
1908	52.23977	MEX
1909	51.8693	MEX
1910	52.53255	MEX
1911	51.317036	MEX
1912	54.624237	MEX
1913	59.20982	MEX
1914	60.07003	MEX
1915	52.95556	MEX
1916	59.602814	MEX
1917	47.097664	MEX
1918	52.50769	MEX
1919	64.87472	MEX
1920	50.349583	MEX
1921	55.833424	MEX
1922	62.842175	MEX
1923	53.975567	MEX
1924	56.97608	MEX
1925	61.58254	MEX
1926	58.886116	MEX
1927	63.67832	MEX
1928	56.537067	MEX
1929	57.74756	MEX
1930	57.537792	MEX
1931	61.690346	MEX
1932	63.91683	MEX
1933	63.953026	MEX
1934	51.73594	MEX
1935	61.281555	MEX
1936	64.86176	MEX
1937	56.175518	MEX
1938	54.814217	MEX
1939	52.948547	MEX
1940	47.59591	MEX
1941	60.85036	MEX
1942	57.026314	MEX
1943	58.552376	MEX
1944	55.71343	MEX
1945	47.1468	MEX
1946	56.49397	MEX
1947	52.64077	MEX
1948	55.231884	MEX
1949	50.056763	MEX
1950	51.194805	MEX
1951	53.848103	MEX
1952	60.690075	MEX
1953	48.439053	MEX
1954	61.820507	MEX
1955	67.046646	MEX
1956	53.997406	MEX
1957	51.549614	MEX
1958	73.917465	MEX
1959	59.036133	MEX
1960	58.814014	MEX
1961	57.617004	MEX
1962	53.784637	MEX
1963	55.650867	MEX
1964	54.948402	MEX
1965	55.606537	MEX
1966	61.909233	MEX
1967	58.864613	MEX
1968	60.255302	MEX
1969	62.94571	MEX
1970	59.956726	MEX
1971	59.6121	MEX
1972	55.989265	MEX
1973	62.430317	MEX
1974	55.056385	MEX
1975	56.174324	MEX
1976	62.49743	MEX
1977	52.138	MEX
1978	65.607925	MEX
1979	55.04713	MEX
1980	55.843193	MEX
1981	68.79439	MEX
1982	51.877735	MEX
1983	60.780922	MEX
1984	70.55553	MEX
1985	61.06121	MEX
1986	57.842445	MEX
1987	52.252693	MEX
1988	61.600147	MEX
1989	57.831654	MEX
1990	60.86325	MEX
1991	61.261353	MEX
1992	60.614563	MEX
1993	64.628296	MEX
1994	53.798073	MEX
1995	61.91325	MEX
1996	61.489136	MEX
1997	57.456413	MEX
1998	64.7161	MEX
1999	66.44986	MEX
2000	58.277016	MEX
2001	54.564186	MEX
2002	61.3911	MEX
2003	60.29142	MEX
2004	65.63512	MEX
2005	60.4753	MEX
2006	67.92285	MEX
2007	60.448097	MEX
2008	70.671486	MEX
2009	49.526283	MEX
1901	211.55371	GTM
1902	204.93095	GTM
1903	202.50877	GTM
1904	208.61919	GTM
1905	211.21101	GTM
1906	207.94926	GTM
1907	213.00833	GTM
1908	207.60774	GTM
1909	211.65239	GTM
1910	212.5101	GTM
1911	202.38377	GTM
1912	213.02039	GTM
1913	222.86563	GTM
1914	218.00789	GTM
1915	212.88528	GTM
1916	226.84746	GTM
1917	209.75461	GTM
1918	209.52115	GTM
1919	235.4366	GTM
1920	215.4399	GTM
1921	245.99374	GTM
1922	212.12247	GTM
1923	156.58318	GTM
1924	242.09317	GTM
1925	169.45	GTM
1926	240.72871	GTM
1927	233.95193	GTM
1928	201.97067	GTM
1929	233.46028	GTM
1930	208.33467	GTM
1931	231.2939	GTM
1932	236.15967	GTM
1933	251.98616	GTM
1934	184.17128	GTM
1935	199.52248	GTM
1936	267.7503	GTM
1937	241.95908	GTM
1938	200.3369	GTM
1939	198.2942	GTM
1940	215.96667	GTM
1941	212.59717	GTM
