year	data	locator
1901	20.5281	MEX
1902	20.804192	MEX
1903	20.176123	MEX
1904	20.640743	MEX
1905	20.437515	MEX
1906	20.484625	MEX
1907	20.793425	MEX
1908	20.7322	MEX
1909	20.603695	MEX
1910	20.479698	MEX
1911	20.501976	MEX
1912	20.199772	MEX
1913	20.157093	MEX
1914	20.37194	MEX
1915	20.562634	MEX
1916	20.80595	MEX
1917	20.58683	MEX
1918	20.608353	MEX
1919	20.272964	MEX
1920	20.483938	MEX
1921	20.578634	MEX
1922	20.595173	MEX
1923	20.494717	MEX
1924	20.356565	MEX
1925	20.518167	MEX
1926	20.693266	MEX
1927	20.93098	MEX
1928	20.846018	MEX
1929	20.586245	MEX
1930	20.578167	MEX
1931	20.521076	MEX
1932	20.496006	MEX
1933	20.745361	MEX
1934	20.930254	MEX
1935	20.74118	MEX
1936	20.909763	MEX
1937	20.883026	MEX
1938	20.896355	MEX
1939	20.831318	MEX
1940	21.043892	MEX
1941	21.193573	MEX
1942	21.156128	MEX
1943	21.270958	MEX
1944	21.052841	MEX
1945	21.426847	MEX
1946	21.294933	MEX
1947	21.137247	MEX
1948	21.34852	MEX
1949	21.136024	MEX
1950	21.383165	MEX
1951	21.21776	MEX
1952	21.029133	MEX
1953	21.295292	MEX
1954	21.348978	MEX
1955	20.87814	MEX
1956	21.049969	MEX
1957	21.427074	MEX
1958	21.099276	MEX
1959	21.20136	MEX
1960	20.971554	MEX
1961	21.013716	MEX
1962	21.257599	MEX
1963	21.213667	MEX
1964	20.817322	MEX
1965	21.03234	MEX
1966	20.669645	MEX
1967	20.934496	MEX
1968	20.614483	MEX
1969	21.150557	MEX
1970	20.817392	MEX
1971	20.846424	MEX
1972	21.328775	MEX
1973	20.849861	MEX
1974	20.825764	MEX
1975	20.681099	MEX
1976	20.411404	MEX
1977	21.05019	MEX
1978	20.908512	MEX
1979	20.614124	MEX
1980	21.125942	MEX
1981	21.023024	MEX
1982	21.330652	MEX
1983	21.104568	MEX
1984	20.857588	MEX
1985	20.919706	MEX
1986	21.240108	MEX
1987	20.876062	MEX
1988	20.957699	MEX
1989	21.296791	MEX
1990	21.467918	MEX
1991	21.114313	MEX
1992	21.001251	MEX
1993	21.26177	MEX
1994	21.812962	MEX
1995	21.771008	MEX
1996	21.660429	MEX
1997	21.492115	MEX
1998	21.852503	MEX
1999	21.368841	MEX
2000	21.581585	MEX
2001	21.411531	MEX
2002	21.564531	MEX
2003	21.671593	MEX
2004	21.485231	MEX
2005	21.792173	MEX
2006	21.952055	MEX
2007	21.526829	MEX
2008	21.521473	MEX
2009	22.031527	MEX
1901	23.42887	GTM
1902	23.555655	GTM
1903	23.562202	GTM
1904	23.44628	GTM
1905	23.513988	GTM
1906	23.246725	GTM
1907	23.337797	GTM
1908	23.333483	GTM
1909	23.466965	GTM
1910	22.73988	GTM
1911	23.364435	GTM
1912	23.389881	GTM
1913	23.0875	GTM
1914	23.094494	GTM
1915	23.254465	GTM
1916	23.149405	GTM
1917	23.135862	GTM
1918	23.501785	GTM
1919	23.327827	GTM
1920	23.355656	GTM
1921	23.19747	GTM
1922	23.65372	GTM
1923	23.45491	GTM
1924	23.340626	GTM
1925	23.298958	GTM
1926	23.459524	GTM
1927	23.6439	GTM
1928	23.569197	GTM
1929	23.687054	GTM
1930	23.259375	GTM
1931	23.489582	GTM
1932	23.523363	GTM
1933	23.422024	GTM
1934	23.356548	GTM
1935	23.289286	GTM
1936	23.855953	GTM
1937	23.561161	GTM
1938	22.849108	GTM
1939	23.209225	GTM
1940	23.15253	GTM
1941	23.231697	GTM
1942	23.082888	GTM
1943	22.462053	GTM
1944	22.919792	GTM
1945	23.282738	GTM
1946	23.284822	GTM
1947	23.36235	GTM
1948	23.163244	GTM
1949	22.975447	GTM
1950	22.5686	GTM
1951	23.198513	GTM
1952	23.199406	GTM
1953	23.687649	GTM
1954	22.98006	GTM
1955	23.047321	GTM
1956	22.873215	GTM
1957	23.50625	GTM
1958	23.937054	GTM
1959	23.736755	GTM
1960	23.483482	GTM
1961	23.428274	GTM
1962	23.121725	GTM
1963	23.147768	GTM
1964	23.338392	GTM
1965	23.236755	GTM
1966	23.100298	GTM
1967	23.074108	GTM
1968	22.94494	GTM
1969	23.83616	GTM
1970	23.637053	GTM
1971	23.55253	GTM
1972	23.987053	GTM
1973	23.762798	GTM
1974	23.228573	GTM
1975	23.597025	GTM
1976	23.209524	GTM
1977	23.620237	GTM
1978	23.486607	GTM
1979	23.438393	GTM
1980	23.7311	GTM
1981	23.444643	GTM
1982	23.70506	GTM
1983	23.909077	GTM
1984	23.176935	GTM
1985	23.45759	GTM
1986	23.51116	GTM
1987	23.860268	GTM
1988	23.779762	GTM
1989	23.601042	GTM
1990	23.645388	GTM
1991	23.997768	GTM
1992	23.934673	GTM
1993	23.94241	GTM
1994	24.121578	GTM
1995	23.937054	GTM
1996	23.54494	GTM
1997	24.376041	GTM
1998	24.52262	GTM
1999	23.534822	GTM
2000	23.979168	GTM
2001	24.295834	GTM
2002	24.442263	GTM
2003	24.412203	GTM
2004	24.534672	GTM
2005	24.540922	GTM
2006	24.382738	GTM
2007	24.204613	GTM
2008	24.2064	GTM
2009	24.549404	GTM
1901	23.746578	HND
1902	23.906399	HND
1903	23.907143	HND
1904	23.78363	HND
1905	23.929762	HND
1906	23.672024	HND
1907	23.739435	HND
1908	23.736607	HND
1909	23.831844	HND
1910	23.267262	HND
1911	23.769197	HND
1912	23.80119	HND
1913	23.563393	HND
1914	23.56741	HND
1915	23.714436	HND
1916	23.644793	HND
1917	23.76741	HND
1918	23.91622	HND
1919	23.75506	HND
1920	23.770832	HND
1921	23.726042	HND
1922	24.017113	HND
1923	23.934078	HND
1924	23.880953	HND
1925	23.93125	HND
1926	23.875744	HND
1927	23.886013	HND
1928	23.75119	HND
1929	23.900745	HND
1930	23.646578	HND
1931	23.930357	HND
1932	23.923363	HND
1933	23.932142	HND
1934	23.951637	HND
1935	23.822025	HND
1936	24.35878	HND
1937	24.037052	HND
1938	23.324108	HND
1939	23.659822	HND
1940	23.695387	HND
1941	23.800447	HND
1942	23.621876	HND
1943	22.932737	HND
1944	23.189137	HND
1945	23.726786	HND
1946	23.86637	HND
1947	24.010862	HND
1948	23.644344	HND
1949	23.388393	HND
1950	22.942707	HND
1951	24.032887	HND
1952	23.97738	HND
1953	23.787052	HND
1954	23.385267	HND
1955	23.405357	HND
1956	23.43988	HND
1957	23.986755	HND
1958	24.491072	HND
1959	24.144047	HND
1960	23.791668	HND
1961	23.759672	HND
1962	23.53125	HND
1963	23.63006	HND
1964	23.807888	HND
1965	23.895388	HND
1966	23.763393	HND
1967	23.290775	HND
1968	23.063244	HND
1969	23.572918	HND
1970	23.227083	HND
1971	23.049404	HND
1972	23.651936	HND
1973	23.614733	HND
1974	23.204464	HND
1975	23.800594	HND
1976	23.798512	HND
1977	24.354763	HND
1978	24.125	HND
1979	24.098957	HND
1980	24.381548	HND
1981	24.016071	HND
1982	24.155209	HND
1983	24.593155	HND
1984	23.849405	HND
1985	24.17128	HND
1986	24.045982	HND
1987	24.510418	HND
1988	24.455357	HND
1989	24.160715	HND
1990	24.12991	HND
1991	24.434525	HND
1992	24.399107	HND
1993	24.32366	HND
1994	24.373215	HND
1995	24.391518	HND
1996	23.913393	HND
1997	24.70253	HND
1998	24.74509	HND
1999	23.786013	HND
2000	24.03765	HND
2001	24.468452	HND
2002	24.602976	HND
2003	24.580208	HND
2004	24.51116	HND
2005	24.60625	HND
2006	24.489285	HND
2007	24.263393	HND
2008	24.537947	HND
2009	24.809673	HND
1901	24.7625	CRI
1902	24.77526	CRI
1903	24.775	CRI
1904	24.765886	CRI
1905	24.769793	CRI
1906	24.739323	CRI
1907	24.754948	CRI
1908	24.753124	CRI
1909	24.767708	CRI
1910	24.691406	CRI
1911	24.75573	CRI
1912	24.757812	CRI
1913	24.724218	CRI
1914	24.725521	CRI
1915	24.80625	CRI
1916	24.754688	CRI
1917	24.751562	CRI
1918	24.78828	CRI
1919	24.750782	CRI
1920	24.75625	CRI
1921	24.760157	CRI
1922	24.798176	CRI
1923	24.767187	CRI
1924	24.79922	CRI
1925	24.795574	CRI
1926	24.819792	CRI
1927	24.658333	CRI
1928	24.665886	CRI
1929	24.721874	CRI
1930	24.701302	CRI
1931	24.976042	CRI
1932	24.809376	CRI
1933	24.655468	CRI
1934	24.632551	CRI
1935	24.621355	CRI
1936	25.1375	CRI
1937	24.930988	CRI
1938	24.475	CRI
1939	24.657812	CRI
1940	24.756771	CRI
1941	25.120832	CRI
1942	24.732813	CRI
1943	24.286457	CRI
1944	24.520052	CRI
1945	24.619532	CRI
1946	24.71276	CRI
1947	24.555988	CRI
1948	24.483593	CRI
1949	24.26823	CRI
1950	23.93698	CRI
1951	25.07448	CRI
1952	24.853645	CRI
1953	24.795574	CRI
1954	24.191668	CRI
1955	24.230207	CRI
1956	25.483334	CRI
1957	25.749218	CRI
1958	25.633854	CRI
1959	25.288542	CRI
1960	25.38802	CRI
